PartieID,Plateau1,Plateau2,Plateau3,Plateau4,Plateau5,Plateau6,Plateau7,Plateau8,Plateau9,Plateau10,Plateau11,Plateau12,ScoreJoueur1,ScoreJoueur2,Joueur1,Joueur2,JoueurTour
1,1,7,0,3,3,8,0,2,1,2,9,8,2,2,kevin,louis,kevin
2,4,4,0,0,6,6,1,2,7,6,6,6,0,0,gerard,herve,herve
3,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,

